CID,CityName/AreaName,Pincode,District,State,Latitude,Longitude,distance(in kms)
102173,Onambakkam,603313,Kanchipuram,TAMIL NADU,12.406220436096193,79.91578674316406,70.62905515956278
102174,Vilanganur,603313,Kanchipuram,TAMIL NADU,12.406220436096193,79.91578674316406,70.62905515956278
102180,Melmaruvathur,603319,Kanchipuram,TAMIL NADU,12.434181213378904,79.82584381103517,73.76253438148564
102181,Sendivakkam,603319,Kanchipuram,TAMIL NADU,12.434181213378904,79.82584381103517,73.76253438148564
102182,Sirunagalur,603319,Kanchipuram,TAMIL NADU,12.434181213378904,79.82584381103517,73.76253438148564
102183,Andarkuppam,603401,Kanchipuram,TAMIL NADU,12.267948150634766,79.9012222290039,84.76677414095651
102184,Chunampet,603401,Kanchipuram,TAMIL NADU,12.267948150634766,79.9012222290039,84.76677414095651
102185,Kadukkalur,603401,Kanchipuram,TAMIL NADU,12.267948150634766,79.9012222290039,84.76677414095651
102186,Puthirankottai,603401,Kanchipuram,TAMIL NADU,12.267948150634766,79.9012222290039,84.76677414095651
102187,Vannianallur,603401,Kanchipuram,TAMIL NADU,12.267948150634766,79.9012222290039,84.76677414095651
102188,Velur,603401,Kanchipuram,TAMIL NADU,12.267948150634766,79.9012222290039,84.76677414095651
102189,Alisoor,603402,Kanchipuram,TAMIL NADU,12.64072036743164,79.71485900878906,67.95732712607482
102190,Arasanimangalam,603402,Kanchipuram,TAMIL NADU,12.64072036743164,79.71485900878906,67.95732712607482
102191,Elaganar,603402,Kanchipuram,TAMIL NADU,12.64072036743164,79.71485900878906,67.95732712607482
102192,Hanumanthandalam,603402,Kanchipuram,TAMIL NADU,12.64072036743164,79.71485900878906,67.95732712607482
102193,Kaliyampoondi,603402,Kanchipuram,TAMIL NADU,12.64072036743164,79.71485900878906,67.95732712607482
102194,Pennalur,603402,Kanchipuram,TAMIL NADU,12.64072036743164,79.71485900878906,67.95732712607482
102195,Manampathi,603403,Kanchipuram,TAMIL NADU,12.628629684448242,79.65331268310547,74.43541242039177
102196,Manampathikandigai,603403,Kanchipuram,TAMIL NADU,12.628629684448242,79.65331268310547,74.43541242039177
102197,Perunagar,603403,Kanchipuram,TAMIL NADU,12.628629684448242,79.65331268310547,74.43541242039177
102198,R.N.Kandigai,603403,Kanchipuram,TAMIL NADU,12.628629684448242,79.65331268310547,74.43541242039177
102199,Thandarai,603403,Kanchipuram,TAMIL NADU,12.628629684448242,79.65331268310547,74.43541242039177
102206,Agaramduli,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102207,Kammalampoondi,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102208,Kavanur Pudhucheri,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102209,Kiliyanagar,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102210,L.Endathur,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102211,Malliyankaranai,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102212,Maruthuvambadi,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102213,Sirungoli,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102214,Tirupulivanam,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102215,Tittalam,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102216,Uttiramerur,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
102217,Vadanallur,603406,Kanchipuram,TAMIL NADU,12.610297203063965,79.74778747558594,66.73900945870317
109663,Kilacheri,631402,Kanchipuram,TAMIL NADU,13.032615661621096,79.84019470214845,45.92311543382657
109665,Kuvam,631402,Kanchipuram,TAMIL NADU,13.032615661621096,79.84019470214845,45.92311543382657
109666,Mappedu,631402,Kanchipuram,TAMIL NADU,13.032615661621096,79.84019470214845,45.92311543382657
109667,Narasingapuram,631402,Kanchipuram,TAMIL NADU,13.032615661621096,79.84019470214845,45.92311543382657
109669,Kanchipuram Collectorate,631501,Kanchipuram,TAMIL NADU,12.764269828796387,79.6632080078125,67.48885859095587
109670,Kanchipuram Cutchery,631501,Kanchipuram,TAMIL NADU,12.764269828796387,79.6632080078125,67.48885859095587
109671,Kanchipuram,631501,Kanchipuram,TAMIL NADU,12.764269828796387,79.6632080078125,67.48885859095587
109672,Little Kanchipuram,631501,Kanchipuram,TAMIL NADU,12.764269828796387,79.6632080078125,67.48885859095587
109673,Pillayarpalayam,631501,Kanchipuram,TAMIL NADU,12.764269828796387,79.6632080078125,67.48885859095587
109674,Thoopul,631501,Kanchipuram,TAMIL NADU,12.764269828796387,79.6632080078125,67.48885859095587
